id,alimento,energia_Kcal,energia_KJ,prot_tot_gr,glucidi_tot,lipidi_tot,saturi_tot,fkAllergene,fkTipologiaAlimento
563,"POMODORI SECCHI",258.00,1079.00,14.10,43.50,3.00,0.43,15,1
564,"POMODORI SOTT'OLIO",213.00,891.00,5.10,17.50,14.10,1.89,15,1
565,"POMODORI, PELATI, IN SCATOLA CON LIQUIDO",21.00,88.00,1.20,3.00,0.50,0.07,15,1
566,"POMODORO, CONCENTRATO (sostanza secca 8%)",50.00,209.00,0.90,11.40,0.40,0.06,15,1
567,"POMODORO, CONCENTRATO (sostanza secca 25%)",71.00,297.00,4.40,16.40,0.60,0.09,15,1
568,"POMODORO, CONSERVA (sostanza secca 30%)",96.00,402.00,3.90,20.40,0.40,0.06,15,1
569,"POMPELMO [CITRUS PARADISI]",26.00,109.00,0.60,6.20,0.00,0.00,15,9
570,"POMPELMO ROSA [CITRUS PARADISI]",30.00,126.00,0.60,7.70,0.10,0.01,15,9
571,"POP CORN",383.00,1602.00,12.70,76.70,5.00,0.68,15,1
572,"PORRI [ALLIUM PORRUM]",29.00,121.00,2.10,5.20,0.10,0.01,15,11
573,PORTO,157.00,657.00,0.10,12.00,0.00,0.00,15,1
574,"PREZZEMOLO [PETROSELINUM SATIVUM], fresco",20.00,84.00,3.70,2.00,0.60,0.10,15,11
575,"PREZZEMOLO, secco",181.00,757.00,15.80,14.50,7.00,0.18,15,1
576,"PROSCIUTTO COTTO",215.00,900.00,19.80,0.90,14.70,5.10,15,15
577,"PROSCIUTTO COTTO, AFFUMICATO",215.00,900.00,19.80,0.90,14.70,5.10,15,15
578,"PROSCIUTTO COTTO, MAGRO",132.00,552.00,22.20,1.00,4.40,1.53,15,15
579,"PROSCIUTTO CRUDO",370.00,1548.00,22.20,0.00,31.20,10.25,15,15
580,"PROSCIUTTO CRUDO, AFFUMICATO",218.00,912.00,28.60,0.00,11.50,3.78,15,15
581,"PROSCIUTTO CRUDO, MAGRO",218.00,912.00,28.60,0.00,11.50,3.78,15,15
582,"PROVOLA AFFUMICATA",260.00,1088.00,21.20,2.00,19.60,12.16,7,6
583,"PROVOLONCINO DOLCE",348.00,1456.00,25.00,2.10,26.60,15.73,7,6
584,PROVOLONE,374.00,1565.00,26.30,2.10,28.90,17.09,7,6
585,"PROVOLONE PICCANTE",400.00,1674.00,29.40,2.10,30.40,17.98,7,6
586,"PRUGNE [PRUNUS DOMESTICA]",42.00,176.00,0.50,10.50,0.10,0.01,15,9
587,"PRUGNE REGINA CLAUDIA [PRUNUS DOMESTICA, CV ITALICA]",41.00,172.00,0.80,9.70,0.10,0.01,15,9
588,"PRUGNE, secche",220.00,920.00,2.20,55.00,0.50,0.04,15,1
589,"QUAGLIA [COTURNIX COTURNIX]",161.00,674.00,25.00,0.00,6.80,1.91,15,7
590,"RADICCHIO ROSSO [CICHORIUM INTYBUS]",13.00,54.00,1.40,1.60,0.10,0.02,15,11
591,"RADICCHIO VERDE [CICHORIUM INTYBUS]",14.00,59.00,1.90,0.50,0.50,0.12,15,11
592,"RANA [RANA ESCULENTA]",64.00,268.00,15.50,0.00,0.20,0.07,15,13
593,"RANA PESCATRICE [LOPHIUS PISCATORIUS]",63.00,264.00,12.80,0.60,1.00,0.22,4,13
594,"RAPE [BRASSICA RAPA]",18.00,75.00,1.00,3.80,0.00,0.00,15,11
595,"RAVANELLI [RAPHANUS SATIVUS]",11.00,46.00,0.80,1.80,0.10,0.03,15,11
596,"RAZZA [RAJA ASTERIAS]",68.00,285.00,14.20,0.70,0.90,2.00,15,13
597,RHUM,222.00,929.00,0.00,0.00,0.00,0.00,15,1
598,"RIBES NERO [RIBES NIGRUM]",28.00,117.00,0.90,6.60,2.00,0.00,15,9
599,"RIBES ROSSO [RIBES RUBRUM]",21.00,88.00,1.10,4.40,2.00,0.00,15,9
600,"RICOTTA DI PECORA",271.00,1134.00,8.40,3.20,25.10,17.51,7,6
601,"RICOTTA DI VACCA",136.00,569.00,12.20,4.00,8.00,4.96,7,6
602,"RICOTTA DI VACCA E PECORA",204.00,854.00,10.30,3.60,16.60,11.24,7,6
603,"RICOTTA INTERA, TIPO TEDESCO",109.00,456.00,12.50,3.60,5.10,3.17,7,6
604,"RICOTTA MAGRA TIPO TEDESCO",72.00,301.00,13.50,4.10,0.20,0.12,7,6
605,"RISO [ORYZA SATIVA], BRILLATO",362.00,1515.00,7.00,87.60,0.60,0.14,15,1
606,"RISO SOFFIATO",369.00,1544.00,6.10,89.70,0.90,0.20,15,1
607,"RISO, SBRAMATO (INTEGRALE)",357.00,1494.00,6.70,81.30,2.80,0.56,15,1
608,"RISO, TIPO PARBOILED",364.00,1523.00,6.70,79.30,1.00,0.27,15,1
609,ROBIOLA,309.00,1293.00,18.90,2.00,25.90,16.07,7,6
610,ROCHEFORT,375.00,1569.00,19.70,2.00,32.90,20.68,7,6
611,"ROMBO [RHOMBUS MAXIMUM]",81.00,339.00,16.30,1.20,1.30,0.17,4,13
612,"ROSMARINO [ROSMARINUS OFFICINALIS], fresco",96.00,402.00,1.40,13.50,4.40,1.14,15,11
613,"ROSMARINO, secco",331.00,1385.00,4.90,46.40,15.20,3.94,15,1
614,"RUCOLA [ERUCA SATIVA]",25.00,105.00,2.60,2.10,0.70,0.09,15,11
615,"SALAME CACCIATORE",424.00,1774.00,28.50,1.20,34.00,10.80,15,15
616,"SALAME DA CUOCERE",326.00,1364.00,36.00,1.50,19.60,6.23,15,15
617,"SALAME DI SUINO",475.00,1987.00,22.50,0.00,42.80,13.60,15,15
618,"SALAME DI SUINO E BOVINO",454.00,1900.00,27.40,0.00,38.30,14.50,15,15
619,"SALAME FABRIANO",421.00,1761.00,26.50,1.50,34.30,12.19,15,15
620,"SALAME FELINO",375.00,1569.00,30.50,0.50,27.90,9.51,15,15
621,"SALAME MILANO",390.00,1632.00,26.70,1.50,30.90,9.82,15,15
622,"SALAME NAPOLI",358.00,1498.00,26.70,1.70,27.30,8.04,15,15
623,"SALAME NOSTRANO",370.00,1548.00,27.30,1.10,28.50,9.33,15,15
624,"SALAME UNGHERESE",406.00,1699.00,24.20,0.70,34.00,9.74,15,15
625,SALATINI,514.00,2151.00,7.20,71.10,24.30,7.06,"1, 3",2
626,"SALE da cucina",0.00,0.00,0.00,0.00,0.00,0.00,15,1
627,"SALMONE [SALMO SALAR]",180.00,753.00,20.20,0.00,11.00,1.90,4,13
628,"SALMONE AFFUMICATO",142.00,594.00,25.40,0.00,4.50,0.78,4,13
629,"SALMONE IN SALAMOIA",188.00,787.00,21.10,0.00,11.50,2.44,4,13
630,"SALSICCIA DI FEGATO",424.00,1774.00,12.40,0.90,41.20,12.00,15,7
631,"SALSICCIA DI SUINO E BOVINO, fresca",394.00,1648.00,14.20,0.00,37.40,14.16,15,7
632,"SALSICCIA DI SUINO, fresca",304.00,1272.00,15.40,0.60,26.70,12.22,15,7
633,"SALSICCIA DI SUINO, secca",514.00,2151.00,22.00,0.00,47.30,21.64,15,7
634,"SALVIA [SALVIA OFFICINALIS], fresca",119.00,498.00,3.90,15.60,4.60,2.54,15,11
635,"SALVIA, secca macinata",315.00,1318.00,10.60,42.70,12.70,7.03,15,1
636,"SARAGO [DIPLODUS SARGUS]",103.00,431.00,15.00,1.00,4.40,0.57,4,13
637,"SARDA [SARDINA PILCHARDUS]",129.00,540.00,20.80,1.50,4.50,1.02,4,13
638,"SARDINE SALATE",133.00,556.00,25.10,0.00,3.60,0.82,4,1
639,"SARDINE SOTT'OLIO",198.00,828.00,22.30,0.00,12.10,2.40,4,1
640,"SCALOGNO [ALLIUM ASCALONIUM]",20.00,84.00,1.50,3.30,0.20,0.03,15,11
641,SCAMORZA,209.00,874.00,22.70,7.20,10.10,6.28,7,6
642,"SCAMORZA AFFUMICATA",209.00,874.00,22.70,7.20,10.10,6.28,7,6
643,"SCAROLA [LACTUCA SCAROLA]",15.00,63.00,1.60,1.70,0.20,0.05,15,11
644,"SCIROPPO DI MALTO",318.00,1331.00,6.20,71.30,0.00,0.00,15,1
645,"SCIROPPO PER BIBITE",297.00,1243.00,0.30,79.00,0.00,0.00,15,1
646,"SCORZONERA [TRAGOPOGON PORRIFOLIUS]",27.00,113.00,1.30,10.20,0.30,0.07,15,11
647,"SEDANO [APIUM GRAVEOLENS]",20.00,84.00,2.30,2.40,0.20,0.05,9,11
648,"SEDANO RAPA [APIUM GRAVEOLENS, CV RAPACEUM]",23.00,96.00,1.90,3.80,0.10,0.03,9,11
649,"SEGO DI BUE",872.00,3648.00,0.80,0.00,96.50,48.06,15,7
650,SEMOLA,341.00,1427.00,11.50,77.60,0.50,0.12,1,4
651,"SEPPIA [SEPIA OFFICINALIS]",72.00,301.00,14.00,0.70,1.50,0.43,14,13
652,"SEPPIA SURGELATA",63.00,264.00,14.10,0.70,0.40,0.11,14,14
653,"SGOMBRO O MACCARELLO [SCOMBER SCOMBRUS]",168.00,703.00,17.00,0.00,11.10,2.60,4,13
654,"SGOMBRO O MACCARELLO IN SALAMOIA",177.00,741.00,19.30,0.00,11.10,2.60,4,1
655,"SGOMBRO, FILETTI SOTT'OLIO",201.00,841.00,25.30,1.00,10.70,2.31,4,13
656,"SHOYU, salsa di soia e grano",53.00,222.00,5.20,7.70,0.10,0.01,"1, 6",1
657,"SODA DOLCE",22.00,92.00,2.00,5.80,0.00,0.00,15,1
658,"SOFFICINI AL FORMAGGIO SURGELATI",278.00,1163.00,7.20,28.60,15.80,3.14,7,3
659,"SOGLIOLA [SOLEA SOLEA]",86.00,360.00,16.90,0.80,1.70,0.22,4,13
660,"SOGLIOLA SURGELATA",84.00,351.00,17.30,0.80,1.30,0.17,4,13
661,"SOIA [GLYCINE MAX], SEMI",398.00,1665.00,36.90,23.30,18.10,2.54,6,1
662,"SOIA, BISTECCA",329.00,1377.00,47.00,20.90,1.20,0.14,6,1
663,"SOIA, GERMOGLI",49.00,205.00,6.20,3.00,1.40,0.20,6,1
664,SOTTILETTE,330.00,1381.00,20.80,0.90,27.00,16.14,7,6
665,SPECK,301.00,1259.00,28.30,0.50,20.90,5.72,15,15
666,"SPIGOLA [MORONE LABRAX]",82.00,343.00,16.50,0.60,1.50,0.24,4,13
667,"SPINACI [SPINACIA OLERACEA]",31.00,130.00,3.40,3.00,0.70,0.07,15,11
668,"SPINACI IN SCATOLA",19.00,79.00,2.80,0.80,0.50,0.08,15,1
669,"SPREMUTA DI ARANCIA",33.00,138.00,0.50,8.20,0.00,0.00,15,2
670,"SPREMUTA DI POMPELMO",30.00,126.00,0.30,7.90,2.00,0.00,15,2
671,"SPUMANTI AROMATICI",82.00,343.00,0.20,5.10,0.00,0.00,15,1
672,"SPUMANTI DEMI0SEC",71.00,297.00,0.10,2.50,0.00,0.00,15,1
673,"SPUMANTI SECCHI",65.00,272.00,0.10,0.70,0.00,0.00,15,1
674,"STARNA [PERDIX PERDIX], COSCIO",113.00,473.00,26.40,0.00,2.60,0.79,15,7
675,"STOCCAFISSO [GADUS POUTASSOU], ammollato",92.00,385.00,20.70,0.30,0.90,0.13,4,13
676,"STOCCAFISSO, secco",358.00,1498.00,80.10,1.10,3.50,0.68,4,13
677,STRACCHINO,300.00,1255.00,18.50,2.00,25.10,15.58,7,6
678,"STRUTTO O SUGNA",892.00,3732.00,0.30,0.00,99.00,42.47,15,7
679,"SUCCO DI ALBICOCCA, CONSERVATO",47.00,197.00,0.30,12.00,0.10,0.01,16,1
680,"SUCCO DI ANANAS, CONSERVATO",56.00,234.00,0.30,13.60,0.10,0.01,16,1
681,"SUCCO DI ARANCIA E POMPELMO non zuccherato",43.00,180.00,0.60,10.20,0.10,0.01,16,1
682,"SUCCO DI ARANCIA, CONCENTRATO",185.00,774.00,2.90,44.90,0.50,0.06,16,1
683,"SUCCO DI ARANCIA, CONSERVATO, non zuccherato",36.00,151.00,0.50,8.80,0.10,0.01,16,1
684,"SUCCO DI BARBABIETOLA, FRESCO",14.00,59.00,0.80,2.90,0.00,0.00,16,1
685,"SUCCO DI CAROTE, CONSERVATO",24.00,100.00,0.50,5.70,0.10,0.02,16,1
686,"SUCCO DI FRUTTA, CONSERVATO",56.00,234.00,0.30,14.50,0.10,0.02,16,1
687,"SUCCO DI LIMONE, CONSERVATO",21.00,88.00,0.40,6.10,0.30,0.04,16,1
688,"SUCCO DI LIMONE, FRESCO",6.00,25.00,0.20,1.40,0.00,0.00,16,1
689,"SUCCO DI MANDARINO, CONSERVATO, non zuccherat",50.00,209.00,0.50,11.80,0.20,0.01,16,1
690,"SUCCO DI MANDARINO, FRESCO",43.00,180.00,0.50,9.90,0.20,0.02,16,1
691,"SUCCO DI MELA, CONSERVATO, non zuccherato",38.00,159.00,0.10,9.90,0.10,0.02,16,1
692,"SUCCO DI MELAGRANA, FRESCO",44.00,184.00,0.20,11.60,2.00,0.00,16,1
693,"SUCCO DI PERA, CONSERVATO",60.00,251.00,0.10,15.20,2.00,0.00,16,1
694,"SUCCO DI PESCA, CONSERVATO",54.00,226.00,0.30,13.30,2.00,0.00,16,1
695,"SUCCO DI POMODORO, CONSERVATO",14.00,59.00,0.80,3.00,2.00,0.00,16,1
696,"SUCCO DI POMPELMO, CONSERVATO, non zuccherato",33.00,138.00,0.40,8.30,0.10,0.01,16,1
697,"SUCCO DI POMPELMO, CONSERVATO, zuccherato",46.00,192.00,0.60,11.00,0.10,0.01,16,1
698,"SUCCO DI SPINACI",10.00,42.00,1.40,0.50,0.30,0.03,16,1
699,"SUCCO DI UVA, CONSERVATO, non zuccherato",46.00,192.00,0.30,11.70,0.10,0.03,16,1
700,"SUCCO TROPICALE, CONSERVATO",47.00,197.00,0.20,11.60,0.10,0.01,16,1
701,"SUINO [SUS SCROFA], CARNE SEMIGRASSA",268.00,1121.00,17.20,0.00,22.10,10.11,15,7
702,"SUINO, BISTECCA",100.00,418.00,18.30,0.00,3.00,1.37,15,7
703,"SUINO, CARNE MAGRA",141.00,590.00,19.90,0.00,6.80,3.11,15,7
704,"SUINO, COSCIO",102.00,427.00,18.70,0.00,3.00,1.37,15,7
705,"SUINO, CUORE",159.00,665.00,18.30,0.40,9.40,2.71,15,7
706,"SUINO, FEGATO",140.00,586.00,22.80,1.50,4.80,1.48,15,7
707,"SUINO, SANGUE",78.00,326.00,19.00,0.10,0.20,0.01,15,7
708,SURIMI,99.00,414.00,15.20,6.90,0.90,0.17,2,13
709,"TACCHINA [MELEAGRIS GALLOPAVO], PETTO",145.00,607.00,22.00,0.40,6.20,2.01,15,7
710,"TACCHINA, ALA",241.00,1008.00,22.30,0.00,16.90,5.11,15,7
711,"TACCHINA, COSCIA",253.00,1059.00,20.90,0.40,18.70,5.65,15,7
712,"TACCHINO [MELEAGRIS GALLOPAVO], INTERO",146.00,611.00,21.00,0.10,6.80,2.20,15,7
713,"TACCHINO, ALA",193.00,808.00,22.30,0.00,11.50,3.48,15,7
714,"TACCHINO, COSCIA",186.00,778.00,20.90,0.40,11.20,3.39,15,7
715,"TACCHINO, PETTO",134.00,561.00,22.00,0.40,4.90,1.59,15,7
716,TALEGGIO,306.00,1280.00,20.60,2.00,24.80,15.39,7,6
717,"TAMARI, salsa di soia",60.00,251.00,10.50,4.80,0.10,0.01,6,1
718,"TAPIOCA [MANIHOT UTILISSIMA]",363.00,1519.00,0.60,95.80,0.20,0.05,15,1
719,"TARTUFO NERO [TUBER MELANOSPORUM]",31.00,130.00,6.00,0.70,0.50,0.11,15,1
720,"TE' DETEINATO, in foglie",108.00,452.00,19.60,3.00,2.00,0.44,15,1
721,"TE' DETEINATO, in tazza",2.00,2.00,0.10,2.00,2.00,2.00,15,1
722,"TE', in foglie",108.00,452.00,19.60,3.00,2.00,0.44,15,1
723,"TE', in tazza",2.00,2.00,0.10,2.00,2.00,2.00,15,1
724,TEMPEH,166.00,695.00,20.70,6.40,6.40,0.92,6,2
725,"TIMO [THYMUS VULGARIS], fresco",95.00,397.00,3.00,15.10,2.50,0.69,15,11
726,"TIMO, secco macinato",276.00,1155.00,9.10,45.30,7.40,2.73,15,1
727,"TINCA [TINCA TINCA]",76.00,318.00,17.90,0.00,0.50,0.10,4,13
728,TIRAMISU',411.00,1720.00,13.20,33.50,25.80,14.32,"1, 3, 7",2
729,"TISANA IN TAZZA",1.00,4.00,0.00,0.20,2.00,2.00,15,1
730,TOFU,76.00,318.00,8.10,0.70,4.80,0.07,6,2
731,"TONNO [THUNNUS THYNNUS]",158.00,661.00,21.50,0.00,8.00,2.09,4,13
732,"TONNO IN SALAMOIA, SGOCCIOLATO",103.00,431.00,25.10,0.00,0.30,0.10,4,13
733,"TONNO SOTT'OLIO, SGOCCIOLATO",258.00,1079.00,22.80,0.00,18.50,3.13,4,13
734,"TORDO [TURDUS ERYCETORUM]",143.00,598.00,20.10,0.00,7.70,2.33,15,7
735,"TORRONE CON MANDORLE",479.00,2004.00,10.80,52.00,26.80,2.23,"8, 3",1
736,"TORTA AL CIOCCOLATO",315.00,1318.00,4.90,36.80,17.50,6.97,"1, 3",1
737,"TORTA MARGHERITA",368.00,1540.00,8.90,63.60,10.40,5.12,"1, 3",2
738,"TORTELLINI, freschi",310.00,1297.00,12.20,52.60,7.10,3.19,"1, 3",2
739,"TORTELLINI, secchi",389.00,1628.00,15.70,61.00,10.80,4.84,"1, 3",1
740,"TRIGLIA [MULLUS SURMULETUS]",123.00,515.00,15.80,1.10,6.20,1.62,4,13
741,"TROTA [SALMO TRUTTA]",86.00,360.00,14.70,0.00,3.00,0.70,4,13
742,"UOVO DI ANATRA",190.00,795.00,12.20,0.70,15.40,4.12,3,5
743,"UOVO DI GALLINA, ALBUME",47.00,197.00,10.90,0.80,2.00,0.00,3,5
744,"UOVO DI GALLINA, INTERO",156.00,653.00,13.00,1.00,11.10,3.31,3,5
745,"UOVO DI GALLINA, INTERO, IN POLVERE",574.00,2402.00,47.00,4.10,41.20,12.96,3,1
746,"UOVO DI GALLINA, TUORLO",355.00,1485.00,16.30,0.70,31.90,9.85,3,5
747,"UOVO DI OCA",189.00,791.00,13.80,1.00,14.40,3.60,3,5
748,"UOVO DI TACCHINA",147.00,615.00,12.80,1.00,10.20,3.64,3,5
749,"UVA [VITIS VINIFERA]",61.00,255.00,0.50,15.60,0.10,0.03,15,NULL
750,"UVA SULTANINA/UVETTA, UVA SECCA",283.00,1184.00,1.90,72.00,0.60,0.20,16,9
751,"VALERIANA [VALERIANELLA OLITORIA]",21.00,88.00,2.00,3.60,0.40,0.05,15,11
752,"VANIGLIA, estratto alcolico",288.00,1205.00,0.10,12.70,0.10,0.01,15,1
753,"VENTAGLIO O PETTINE [PECTEN JACOBEAUS]",88.00,368.00,16.80,2.40,0.80,0.08,14,13
754,"VERDURA E LEGUMI, SURGELATI",64.00,268.00,3.30,9.50,0.50,0.10,15,12
755,"VERMOUTH DOLCE",151.00,632.00,2.00,15.90,0.00,0.00,15,1
756,"VERMOUTH SECCO",109.00,456.00,0.10,3.00,0.00,0.00,15,1
757,"VINO BIANCO",71.00,297.00,0.10,0.10,0.00,0.00,12,1
758,"VINO ROSATO",71.00,297.00,0.10,2.50,0.00,0.00,12,1
759,"VINO ROSSO",76.00,318.00,0.10,0.20,0.00,0.00,12,1
760,"VITELLO [BOS TAURUS], CARNE MAGRA",92.00,385.00,20.70,0.10,1.00,0.36,15,7
761,"VITELLO, CARNE SEMIGRASSA",144.00,602.00,20.30,0.00,7.00,2.52,15,7
762,"VITELLO, CORATELLA",103.00,431.00,17.10,1.60,3.20,1.71,15,7
763,"VITELLONE [BOS TAURUS], CARNE SEMIGRASSA",160.00,669.00,19.10,0.00,9.30,3.94,15,7
764,"VITELLONE, CARNE GRASSA",204.00,854.00,18.10,0.00,14.60,6.18,15,7
765,"VITELLONE, CARNE MAGRA",113.00,473.00,21.30,0.00,3.10,1.31,15,7
766,"VITELLONE, tagli di carne grassa",155.00,649.00,20.20,0.00,8.30,3.51,15,7
767,"VITELLONE, tagli di carne magra",108.00,452.00,21.30,0.00,2.80,1.19,15,7
768,"VITELLONE, tagli di carne semigrassa",140.00,586.00,21.50,0.00,6.10,2.58,15,7
769,VODKA,222.00,929.00,0.00,0.00,0.00,0.00,15,1
770,"VONGOLA [AMIGDALA DECUSSATA]",72.00,301.00,10.20,2.20,2.50,0.24,14,13
771,"VONGOLE IN SCATOLA, AL NATURALE",148.00,619.00,25.60,5.10,2.00,0.19,14,13
772,"WAKAME [UNDARIA spp], secca",71.00,297.00,12.40,2.00,2.40,0.49,15,1
773,WHISKY,238.00,996.00,0.00,0.10,0.00,0.00,15,1
774,WURSTEL,270.00,1130.00,13.70,1.40,23.30,6.94,15,7
775,"WURSTEL DI POLLO",257.00,1075.00,12.90,6.80,19.50,5.54,15,7
776,"WURSTEL DI TACCHINO",226.00,946.00,14.30,1.50,17.70,5.89,15,7
777,"YOGURT DI LATTE INTERO",63.00,264.00,3.50,3.60,3.90,2.07,7,6
778,"YOGURT DI LATTE INTERO AI CEREALI E MALTO",95.00,397.00,3.50,12.90,3.60,1.87,7,6
779,"YOGURT DI LATTE INTERO ALLA FRUTTA",88.00,368.00,2.80,12.60,3.30,1.75,7,6
780,"YOGURT DI LATTE MAGRO ALLA FRUTTA",90.00,377.00,4.10,17.90,0.70,0.39,7,6
781,"YOGURT DI LATTE PARZIALMENTE SCREMATO",43.00,180.00,3.40,3.80,1.70,0.95,7,6
782,"YOGURT DI LATTE SCREMATO",36.00,151.00,3.30,4.00,0.90,0.50,7,6
783,"ZAFFERANO [CROCUS SATIVUS]",310.00,1297.00,11.40,61.50,5.90,1.59,15,1
784,ZAMPONE,360.00,1506.00,19.10,0.00,31.60,10.35,15,7
785,"ZUCCA GIALLA [CUCURBITA MAXIMA]",18.00,75.00,1.10,3.50,0.10,0.05,15,11
786,"ZUCCHERO (Saccarosio)",392.00,1640.00,0.00,104.50,0.00,0.00,15,1
787,"ZUCCHERO DI CANNA, GREZZO",362.00,1515.00,0.10,101.30,0.00,0.00,15,1
788,"ZUCCHINE [CUCURBITA PEPO]",11.00,46.00,1.30,1.40,0.10,0.02,15,1
789,"ESTRATTO VEGETALE",152.00,NULL,7.40,26.30,1.90,NULL,15,2
790,"PREPARATO DI PESCE SURGELATO",87.00,NULL,10.00,1.00,1.70,NULL,4,14
791,"VONGOLE SURGELATE",72.00,NULL,10.20,2.20,2.50,NULL,14,14
792,"MINESTRONE SURGELATO",49.00,NULL,2.40,17.00,0.70,NULL,15,12
793,"CHIODI DI GAROFANO",0.00,NULL,0.00,0.00,0.00,NULL,15,1
794,"UOVA INTERE PASTORIZZATE",138.00,NULL,13.00,0.00,9.50,NULL,3,5
795,"FILETTO DI PLATESSA",81.00,NULL,17.30,0.00,1.30,NULL,4,13
796,"ANELLI DI TOTANI SURGELATI",101.00,NULL,16.00,0.00,1.00,NULL,4,13
797,COSTINE,20.00,NULL,1.30,2.80,0.10,NULL,15,7
798,"PATATE FRITTE SURGELATE",153.00,NULL,2.50,21.00,6.00,NULL,15,12
799,"ASPARAGI SURGELATI",20.00,NULL,2.40,2.00,0.00,NULL,15,12
800,"ASPARAGI SURGELATI",20.00,NULL,2.40,2.00,0.00,NULL,15,12
803,CURRY,4.00,NULL,1.00,0.00,0.00,NULL,15,1
804,"PESTO ALLA GENOVESE",450.00,NULL,6.70,8.70,47.50,NULL,15,2
805,"INSALATA VERDE",19.00,NULL,1.80,2.20,0.40,NULL,15,11
807,"CECI /SCATOLA",105.00,NULL,5.30,18.20,1.40,NULL,15,1
808,"AFFETTATO DI POLLO",96.00,NULL,16.00,4.90,1.40,NULL,15,15
809,"MAIALE BRACIOLA",157.00,NULL,21.30,0.00,8.00,NULL,15,7
810,NASELLO,75.00,NULL,17.30,0.00,0.60,NULL,4,13
811,EMMENTHAL,403.00,NULL,28.50,3.60,30.60,NULL,7,6
812,"ROAST BEEF DI PROSCIUTTO FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,15
813,"TACCHINO AL DRAGONCELLO FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,7
814,"NASELLO BURRO E LIMONE FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,"7, 4",2
815,"MAIALE PIZZAIOLA FRULLATO",141.00,NULL,15.00,3.40,7.40,NULL,1,7
816,"MANZO CON CAROTE FRULLATO",141.00,NULL,15.00,3.40,7.40,NULL,15,7
817,"POLLO AL LIMONE FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,7
818,"SPEZZATINO DI VITELLO FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,7
819,"NASELLO ACETOSA FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,4,13
820,"OSSOBUCO FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,7
821,"POLLO IN FRICASSEA FRULLATO",141.00,NULL,15.00,3.20,7.40,NULL,15,7
822,"RATATOUILLE FRULLATA",64.00,NULL,3.00,8.40,NULL,NULL,16,2
823,"PUREA DI SEDANO FRULLATA",64.00,NULL,3.00,8.40,1.50,NULL,9,11
824,"LENTICCHIE ALLE VERDURE FRULLATE",77.00,NULL,4.70,13.00,5.10,NULL,15,2
825,"VERDURE PRIMAVERILI FRULLATE",64.00,NULL,3.00,8.40,1.50,NULL,15,2
826,"PUREA DI CAROTE FRULLATA",64.00,NULL,3.00,8.40,1.50,NULL,15,2
827,"PUREA DI FAGIOLINI FRULLATA",64.00,NULL,3.00,8.40,1.50,NULL,15,2
828,"NASELLO BURRO E LIMONE FRULLATO",142.00,NULL,15.00,3.70,7.50,NULL,"7, 4",2
829,"PASTINA APROTEICA IN BRODO",355.00,NULL,0.50,81.00,1.60,NULL,15,2
830,"PASTA APROTEICA",351.00,NULL,0.50,81.00,1.10,NULL,15,1
831,"PASTA DI MAIS",357.00,NULL,7.40,79.26,2.00,NULL,15,1
832,"TONNO IN SCATOLA",103.00,NULL,25.10,0.00,10.00,NULL,4,1
833,AGNOLOTTI,265.00,NULL,10.60,40.70,7.30,NULL,"1, 3",2
834,GNOCCHI,164.00,NULL,3.90,37.90,0.30,NULL,"1, 3",2
835,"CIME DI RAPA",27.00,11.20,2.60,2.80,0.10,NULL,15,11
836,AROMI,20.00,NULL,3.70,2.00,0.60,NULL,15,1
837,FARRO,61.00,255.00,5.00,10.70,0.40,0.05,1,1
838,"MANZO AFFUMICATO",117.00,492.00,23.10,0.40,2.00,NULL,15,7
839,"UOVO DI GALLINA, SODO",156.00,NULL,13.00,NULL,11.10,NULL,3,5
840,"Riso Venere",NULL,NULL,NULL,NULL,NULL,NULL,15,1
